"occ","y4_hhid","hh_i01","hh_i02","hh_i03","hh_i04","hh_i05","hh_i06","hh_i07_1","hh_i07_2","hh_i08","hh_i09","hh_i10","hh_i11","hh_i12","hh_i13","hh_i14","hh_i15","hh_i16","hh_i17","hh_i18","hh_i19","hh_i20","hh_i21","hh_i22","hh_i23","hh_i24_1","hh_i24_2","hh_i25","hh_i26","hh_i27","hh_i28","hh_i29","hh_i30","hh_i31","hh_i32","hh_i33","hh_i34_1","hh_i34_2","hh_i35","hh_i36"
1,"1000-001",1,10,,20000,0,0,2,1,4,4,1,6,2,2,,8,1,5,,7,2,,,,1,,7,0,2,2,1,3,3,60,30,1,,1,1000
1,"1001-001",1,10,,30000,0,0,3,2,4,4,2,4,4,2,,2,1,5,,1,4,2,20,10,1,,1,840,1,,,,,,,,,,
1,"1002-001",1,10,,50000,0,350000,3,2,6,4,2,4,4,2,,8,1,2,3,1,4,3,15,5,1,,1,700,1,,,,,,,,,,
1,"1003-001",1,10,,30000,0,0,3,1,4,4,1,4,3,2,,8,1,5,,1,4,2,30,10,2,,1,1400,1,,,,,,,,,,
1,"1005-001",1,10,,20000,0,0,3,,4,4,2,6,4,2,,2,1,5,,1,3,2,60,20,1,,1,2000,1,,,,,,,,,,
1,"1006-001",1,10,,60000,0,0,3,2,2,4,1,5,2,2,,1,1,5,,1,4,1,120,30,1,,1,2000,1,,,,,,,,,,
1,"1007-001",5,,,15000,0,0,1,,2,4,1,4,3,1,3,2,1,9,,1,3,2,60,1,1,,1,1500,1,,,,,,,,,,
1,"1009-001",1,10,,20000,0,0,2,0,5,4,2,4,7,2,,1,1,5,,1,4,1,60,30,2,,3,700,2,2,1,4,2,70,60,2,,3,280
1,"1019-001",4,,15000,,0,0,1,,6,4,2,1,3,1,1,8,4,9,,1,3,1,10,1,1,,1,250,1,,,,,,,,,,
1,"1020-001",4,,35000,,0,0,1,0,5,4,2,1,7,1,15,2,2,1,1,1,2,,,,1,,1,500,1,,,,,,,,,,
1,"1021-001",4,,40000,,0,0,1,,5,4,2,1,7,1,15,8,4,1,1,1,1,,,,2,,1,300,1,,,,,,,,,,
1,"1022-001",4,,80000,,0,0,2,,5,4,2,1,5,1,6,1,5,1,1,1,2,,,,2,,1,500,1,,,,,,,,,,
1,"1023-001",4,,30000,,0,0,2,,6,4,2,2,7,1,8,2,2,1,1,1,2,,,,1,,1,375,1,,,,,,,,,,
1,"1024-001",4,,30000,,0,0,1,,6,4,2,1,6,1,12,2,2,1,1,7,2,,,,2,4,7,0,2,2,1,2,,,,2,4,1,750
1,"1025-001",4,,30000,,0,0,1,,5,4,2,1,7,1,11,8,2,1,1,7,2,,,,4,,7,0,2,2,1,2,,,,4,,7,250
1,"1026-001",4,,30000,,0,0,1,,6,4,2,1,7,1,9,8,4,1,1,1,1,,,,2,4,1,375,1,,,,,,,,,,
