"occ","y4_hhid","loancode","hh_p02_2","hh_p03","hh_p04","hh_p05","hh_p06","hh_p07","hh_p08_1","hh_p08_2","hh_p09","hh_p10_1","hh_p10_2","hh_p10_3"
1,"1000-001",,,,,,,,,,,,,
1,"1001-001",,,,,,,,,,,,,
1,"1002-001",,,,,,,,,,,,,
1,"1003-001",,,,,,,,,,,,,
1,"1005-001",1,"**CONFIDENTIAL**",6,2,1,300000,1,,,300000,7,,
1,"1006-001",,,,,,,,,,,,,
1,"1007-001",,,,,,,,,,,,,
1,"1009-001",,,,,,,,,,,,,
1,"1019-001",,,,,,,,,,,,,
1,"1020-001",,,,,,,,,,,,,
1,"1021-001",,,,,,,,,,,,,
1,"1022-001",,,,,,,,,,,,,
1,"1023-001",,,,,,,,,,,,,
1,"1024-001",1,"**CONFIDENTIAL**",2,1,1,3600000,2,7,2014,3600000,3,,
1,"1025-001",1,"**CONFIDENTIAL**",13,1,1,20000,1,,,20000,2,,
1,"1026-001",,,,,,,,,,,,,
1,"1038-001",,,,,,,,,,,,,
1,"1039-001",,,,,,,,,,,,,
1,"1040-001",,,,,,,,,,,,,
1,"1041-001",,,,,,,,,,,,,
1,"1042-001",1,"**CONFIDENTIAL**",6,1,1,45000,2,6,2015,45000,2,,
1,"1043-001",,,,,,,,,,,,,
1,"1044-001",,,,,,,,,,,,,
1,"1045-001",,,,,,,,,,,,,
1,"1057-001",,,,,,,,,,,,,
1,"1058-001",,,,,,,,,,,,,
1,"1059-001",,,,,,,,,,,,,
1,"1060-001",,,,,,,,,,,,,
1,"1061-001",,,,,,,,,,,,,
1,"1062-001",,,,,,,,,,,,,
1,"1063-001",,,,,,,,,,,,,
1,"1064-001",,,,,,,,,,,,,
1,"1076-001",,,,,,,,,,,,,
1,"1077-001",1,"**CONFIDENTIAL**",12,2,1,500000,1,,,550000,2,,
1,"1078-001",1,"**CONFIDENTIAL**",7,1,1,3000000,1,,,3050000,7,,
1,"1079-001",,,,,,,,,,,,,
1,"1080-001",,,,,,,,,,,,,
1,"1081-001",,,,,,,,,,,,,
1,"1082-001",,,,,,,,,,,,,
1,"1083-001",,,,,,,,,,,,,
1,"1095-001",1,"**CONFIDENTIAL**",6,1,2,80000,2,3,2015,80000,1,,
1,"1096-001",1,"**CONFIDENTIAL**",6,1,1,70000,1,,,70000,2,,
2,"1096-001",2,"**CONFIDENTIAL**",6,1,1,40000,1,,,40000,2,,
1,"1097-001",,,,,,,,,,,,,
1,"1098-001",,,,,,,,,,,,,
1,"1099-001",,,,,,,,,,,,,
1,"1100-001",,,,,,,,,,,,,
1,"1101-001",,,,,,,,,,,,,
1,"1102-001",,,,,,,,,,,,,
1,"1114-001",,,,,,,,,,,,,
1,"1115-001",,,,,,,,,,,,,
1,"1116-001",,,,,,,,,,,,,
1,"1118-001",,,,,,,,,,,,,
1,"1119-001",,,,,,,,,,,,,
1,"1120-001",,,,,,,,,,,,,
