"occ","y4_hhid","hh_q01_1","hh_q01_2","hh_q01_3","hh_q01_4","hh_q02","hh_q03_a","hh_q03_b","hh_q03_c","hh_q03_d","hh_q03_e","hh_q03_f","hh_q03_g","hh_q03_h","hh_q04","hh_q05_1","hh_q05_2","hh_q06","hh_q07","hh_q08","hh_q09_1","hh_q09_2","hh_q09_3","hh_q10","hh_q11_1","hh_q11_2","hh_q11_3","hh_q12","hh_q13_1","hh_q13_2","hh_q13_3","hh_q14"
1,"1000-001",1,2,1,2,7,2,1,1,1,2,2,2,2,"D",1,6,120000,0,0,,,,2,,,,,1,,,1
1,"1001-001",2,2,2,2,,,,,,,,,,,6,1,0,0,0,,,,2,,,,,1,,,2
1,"1002-001",2,2,2,2,,,,,,,,,,,1,3,0,0,0,,,,2,,,,,1,,,1
1,"1003-001",2,2,2,2,,,,,,,,,,,1,8,0,0,0,,,,2,,,,,1,,,1
1,"1005-001",1,2,2,2,7,2,2,1,1,2,2,2,2,"C",1,3,0,0,0,,,,2,,,,,1,,,2
1,"1006-001",1,2,2,2,7,1,1,1,1,2,1,1,2,"D",6,10,0,0,0,,,,2,,,,,1,,,2
1,"1007-001",1,2,2,2,7,2,2,1,2,2,2,2,2,"C",6,1,0,0,0,,,,2,,,,,1,,,2
1,"1009-001",1,2,2,2,7,2,2,1,1,2,2,2,2,"C",1,5,0,0,0,,,,2,,,,,1,,,2
1,"1019-001",2,2,2,2,,,,,,,,,,,6,,0,0,0,,,,2,,,,,1,,,2
1,"1020-001",1,2,2,2,8,2,2,1,2,2,2,2,2,"C",5,,0,0,0,,,,2,,,,,1,,,2
1,"1021-001",1,2,2,2,2,1,2,1,1,2,2,2,2,"A",6,,0,0,0,,,,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,2011,,,,1
1,"1022-001",1,2,2,1,3,1,2,1,1,1,1,2,2,"C",5,6,0,0,0,,,,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,2006,,,,2
1,"1023-001",2,2,1,2,3,1,2,1,1,1,2,2,2,"A",5,,0,0,0,,,,2,,,,,1,,,2
1,"1024-001",1,2,1,1,3,1,1,1,1,1,1,2,2,"C",5,8,0,0,0,,,,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,2010,,,,1
1,"1025-001",1,2,1,2,7,2,2,1,1,2,1,2,2,"C",6,5,0,0,0,,,,1,"**CONFIDENTIAL**",,,2000,,,,2
1,"1026-001",1,2,2,1,7,1,1,1,1,2,2,2,2,"D",8,10,0,0,0,,,,1,"**CONFIDENTIAL**",,,2013,,,,1
1,"1038-001",2,2,1,2,2,1,2,1,1,2,2,1,2,"G",5,1,0,0,0,,,,1,"**CONFIDENTIAL**",,,2011,,,,1
1,"1039-001",1,2,1,2,7,2,2,1,1,2,2,1,2,"G",6,,0,0,0,,,,2,,,,,1,,,1
1,"1040-001",1,2,1,2,4,1,2,1,1,1,2,2,2,"A",6,,0,0,0,,,,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2008,,,,2
1,"1041-001",1,2,1,2,7,2,2,2,1,2,2,2,2,"D",10,1,960000,1584000,0,,,,1,"**CONFIDENTIAL**",,,2006,,,,1
1,"1042-001",1,2,2,2,4,1,2,1,1,1,1,2,2,"E",8,10,0,0,0,,,,1,"**CONFIDENTIAL**",,,2011,,,,1
1,"1043-001",1,2,1,2,7,1,2,1,1,1,1,1,2,"F",6,,0,0,0,,,,1,"**CONFIDENTIAL**",,,2009,,,,2
1,"1044-001",1,2,2,2,7,2,2,2,1,2,2,2,2,"D",6,,0,0,0,,,,2,,,,,1,,,1
1,"1045-001",1,2,2,2,7,2,2,2,1,2,2,2,2,"D",6,8,0,0,0,,,,2,,,,,1,,,1
1,"1057-001",2,2,2,2,,,,,,,,,,,8,,0,0,0,,,,2,,,,,1,,,1
1,"1058-001",1,2,2,2,2,1,2,2,1,2,1,1,2,"F",6,,0,0,0,,,,2,,,,,5,,,2
1,"1059-001",1,2,2,2,7,2,2,2,1,2,2,2,2,"D",1,2,0,0,0,,,,2,,,,,1,,,1
1,"1060-001",2,2,2,2,,,,,,,,,,,6,,0,0,0,,,,2,,,,,1,,,1
1,"1061-001",2,2,2,2,,,,,,,,,,,2,1,0,0,0,,,,2,,,,,1,,,2
1,"1062-001",2,2,2,2,,,,,,,,,,,2,,0,0,0,,,,2,,,,,1,,,2
1,"1063-001",2,2,2,2,,,,,,,,,,,2,3,0,0,0,,,,2,,,,,1,,,2
1,"1064-001",2,2,2,2,,,,,,,,,,,1,8,0,0,0,,,,2,,,,,1,,,1
1,"1076-001",1,2,2,2,7,2,2,2,1,2,2,2,2,"D",6,,0,0,0,,,,2,,,,,1,,,2
1,"1077-001",2,2,2,2,,,,,,,,,,,1,5,0,0,0,,,,2,,,,,1,,,2
1,"1078-001",2,2,1,2,7,2,2,1,1,2,2,2,2,"D",1,5,0,0,0,,,,2,,,,,1,,,2
1,"1079-001",1,2,2,2,7,2,2,1,2,2,2,2,2,"C",6,1,0,0,0,,,,2,,,,,1,,,1
1,"1080-001",2,2,2,2,,,,,,,,,,,6,,0,0,0,,,,2,,,,,1,,,1
1,"1081-001",2,2,2,2,,,,,,,,,,,5,3,0,0,0,,,,2,,,,,1,,,2
1,"1082-001",2,2,2,2,,,,,,,,,,,6,,0,0,0,,,,2,,,,,1,,,1
1,"1083-001",2,2,2,2,,,,,,,,,,,5,1,0,0,0,,,,2,,,,,1,,,2
1,"1095-001",2,2,2,2,,,,,,,,,,,5,,0,0,0,,,,2,,,,,1,,,1
1,"1096-001",1,2,2,2,7,2,2,2,1,2,1,2,2,"D",2,,0,0,0,,,,2,,,,,1,,,2
1,"1097-001",2,2,2,2,,,,,,,,,,,2,,0,0,0,,,,2,,,,,1,,,2
1,"1098-001",2,2,2,2,,,,,,,,,,,8,2,0,0,0,,,,2,,,,,1,,,1
