"occ","y4_hhid","sourceid","hh_q15_2","hh_q16","hh_q17","hh_q18","hh_q19","hh_q20","hh_q21_1","hh_q21_2","hh_q22_1","hh_q22_2","hh_q22_3","hh_q23","hh_q24_1","hh_q24_2","hh_q24_3","hh_q25_1","hh_q25_2","hh_q26","hh_q27_1","hh_q27_2"
1,"1000-001",1,"**CONFIDENTIAL**",10,51,1,24,3,2,10,8,,,8000,1,,,1,,0,,
1,"1001-001",,,,,,,,,,,,,,,,,,,,,
1,"1002-001",1,"**CONFIDENTIAL**",7,20,1,17,2,2,3,5,,,100000,1,,,1,,0,,
2,"1002-001",2,"**CONFIDENTIAL**",7,25,1,17,2,2,3,5,,,150000,1,,,1,,0,,
3,"1002-001",3,"**CONFIDENTIAL**",4,35,1,17,2,2,8,5,,,10000,1,,,1,,0,,
4,"1002-001",4,"**CONFIDENTIAL**",3,20,2,17,2,2,1,5,,,10000,1,,,1,,0,,
1,"1003-001",1,"**CONFIDENTIAL**",1,70,1,46,2,2,50,5,,,10000,1,,,1,,0,,
1,"1005-001",,,,,,,,,,,,,,,,,,,,,
1,"1006-001",,,,,,,,,,,,,,,,,,,,,
1,"1007-001",,,,,,,,,,,,,,,,,,,,,
1,"1009-001",,,,,,,,,,,,,,,,,,,,,
1,"1019-001",,,,,,,,,,,,,,,,,,,,,
1,"1020-001",,,,,,,,,,,,,,,,,,,,,
1,"1021-001",1,"**CONFIDENTIAL**",6,38,1,32,2,2,20,10,,,500000,8,,,1,,0,,
1,"1022-001",,,,,,,,,,,,,,,,,,,,,
1,"1023-001",,,,,,,,,,,,,,,,,,,,,
1,"1024-001",1,"**CONFIDENTIAL**",9,22,1,43,2,2,3,10,,,20000,3,,,1,,0,,
2,"1024-001",2,"**CONFIDENTIAL**",7,30,1,45,1,2,4,6,,,40000,1,,,1,,0,,
3,"1024-001",3,"**CONFIDENTIAL**",7,32,2,32,11,2,32,6,,,20000,1,,,1,,0,,
4,"1024-001",4,"**CONFIDENTIAL**",9,23,2,42,2,2,2,10,,,30000,2,,,1,,0,,
1,"1025-001",,,,,,,,,,,,,,,,,,,,,
1,"1026-001",1,"**CONFIDENTIAL**",2,58,1,17,12,2,58,6,,,350000,1,,,1,,0,,
1,"1038-001",1,"**CONFIDENTIAL**",6,40,1,17,2,2,1,5,,,800000,1,5,,1,,0,,
1,"1039-001",1,"**CONFIDENTIAL**",7,42,1,24,7,2,16,6,8,,50000,1,,,2,,0,,
1,"1040-001",,,,,,,,,,,,,,,,,,,,,
1,"1041-001",1,"**CONFIDENTIAL**",3,40,2,24,20,2,17,6,8,,100000,1,,,1,,0,,
1,"1042-001",1,"**CONFIDENTIAL**",2,50,1,17,2,2,50,10,,,200000,1,,,1,2,105000,1,2
1,"1043-001",,,,,,,,,,,,,,,,,,,,,
1,"1044-001",1,"**CONFIDENTIAL**",6,30,1,17,2,2,30,6,,,20000,1,,,2,,0,,
1,"1045-001",1,"**CONFIDENTIAL**",3,30,2,24,3,2,30,6,,,30000,1,,,1,,0,,
